,"Ground truth (theta, phi)","Output (theta, phi)"
0,"[32.0, 170.0]","[29.271438598632812, 177.22227478027344]"
1,"[77.0, 280.0]","[70.02300262451172, 286.5550537109375]"
2,"[1.0, 339.0]","[0.3507745862007141, 195.59085083007812]"
3,"[68.0, 235.0]","[61.286651611328125, 242.09347534179688]"
4,"[163.0, 66.0]","[166.328369140625, 67.90680694580078]"
5,"[76.0, 21.0]","[76.34138488769531, 25.808500289916992]"
6,"[4.0, 60.0]","[-1.2229846715927124, 66.10939025878906]"
7,"[87.0, 257.0]","[84.78236389160156, 264.0386962890625]"
8,"[120.0, 287.0]","[119.45072174072266, 297.02423095703125]"
9,"[141.0, 46.000003814697266]","[142.7303466796875, 53.083961486816406]"
10,"[139.0, 240.0]","[135.39047241210938, 246.6626739501953]"
11,"[62.0, 97.0]","[60.61204528808594, 104.11194610595703]"
12,"[108.00000762939453, 150.0]","[109.6280517578125, 156.54537963867188]"
13,"[105.0, 290.0]","[102.02677917480469, 296.1178894042969]"
14,"[47.0, 10.0]","[45.66531753540039, 12.180525779724121]"
15,"[85.0, 26.000001907348633]","[85.7017822265625, 34.31293487548828]"
16,"[79.0, 190.0]","[80.48883056640625, 197.75772094726562]"
17,"[51.0, 144.0]","[52.116424560546875, 148.41763305664062]"
18,"[6.000000476837158, 294.0]","[5.192556381225586, 299.8059997558594]"
19,"[108.00000762939453, 15.0]","[111.34099578857422, 18.38835334777832]"
20,"[159.0, 329.0]","[158.88023376464844, 340.14111328125]"
21,"[129.0, 288.0]","[126.15714263916016, 296.6065368652344]"
22,"[19.0, 30.0]","[19.592939376831055, 34.48329162597656]"
23,"[111.0, 180.0]","[108.61973571777344, 186.4775390625]"
24,"[19.0, 208.00001525878906]","[15.966632843017578, 211.61993408203125]"
25,"[40.0, 331.0]","[37.21748352050781, 340.5158996582031]"
26,"[85.0, 360.0]","[84.73291778564453, 145.87362670898438]"
27,"[122.0, 196.99998474121094]","[123.55430603027344, 203.66519165039062]"
28,"[56.000003814697266, 257.0]","[49.00135040283203, 261.6264953613281]"
29,"[76.0, 141.0]","[77.59418487548828, 144.80665588378906]"
30,"[174.0, 163.0]","[175.2169952392578, 173.35791015625]"
31,"[28.000001907348633, 49.0]","[29.91922950744629, 54.3199348449707]"
32,"[22.0, 325.0]","[17.227689743041992, 332.7008972167969]"
33,"[177.0, 220.0]","[178.40280151367188, 217.52906799316406]"
34,"[106.0, 321.0]","[104.11727905273438, 326.4147644042969]"
35,"[124.99999237060547, 188.0]","[127.48678588867188, 195.2137908935547]"
36,"[140.0, 152.0]","[141.12799072265625, 156.14874267578125]"
37,"[43.0, 60.0]","[47.070457458496094, 67.71205139160156]"
38,"[126.0, 35.0]","[126.83493041992188, 42.41157531738281]"
39,"[17.0, 246.0]","[16.820648193359375, 254.81954956054688]"
40,"[147.0, 319.0]","[145.83680725097656, 328.2213134765625]"
41,"[62.0, 309.0]","[61.255741119384766, 311.2197265625]"
42,"[116.0, 38.0]","[118.06852722167969, 44.38484191894531]"
43,"[120.0, 19.0]","[123.22173309326172, 23.06657600402832]"
44,"[58.0, 64.0]","[61.10735321044922, 69.37377166748047]"
45,"[83.0, 240.0]","[76.97140502929688, 248.219482421875]"
46,"[93.0, 105.0]","[91.86785888671875, 110.62345886230469]"
47,"[154.0, 260.0]","[150.4799346923828, 269.51043701171875]"
48,"[46.000003814697266, 343.0]","[45.57492446899414, 348.4814147949219]"
49,"[70.0, 354.0]","[72.42696380615234, 370.8880615234375]"
50,"[83.0, 251.0]","[84.09234619140625, 258.03131103515625]"
51,"[152.0, 266.0]","[147.88136291503906, 275.9239807128906]"
52,"[34.0, 178.0]","[34.002464294433594, 184.79415893554688]"
53,"[6.000000476837158, 14.000000953674316]","[0.9120107293128967, 22.469017028808594]"
54,"[48.000003814697266, 289.0]","[42.036460876464844, 294.1883239746094]"
55,"[76.0, 194.0]","[73.93806457519531, 202.5489044189453]"
56,"[95.0, 150.0]","[97.06333923339844, 156.62176513671875]"
57,"[120.99999237060547, 71.0]","[120.9481201171875, 76.39170837402344]"
58,"[0.0, 252.0]","[2.5192065238952637, 194.72325134277344]"
59,"[45.0, 11.0]","[43.31768035888672, 13.485513687133789]"
60,"[170.0, 155.0]","[166.13739013671875, 160.98895263671875]"
61,"[148.0, 326.0]","[149.091796875, 336.86370849609375]"
62,"[165.0, 109.0]","[166.48068237304688, 120.23680114746094]"
63,"[58.0, 54.000003814697266]","[62.43312454223633, 60.324119567871094]"
64,"[105.0, 71.0]","[102.80479431152344, 76.2982177734375]"
65,"[69.0, 252.0]","[66.80084228515625, 256.0526123046875]"
66,"[48.000003814697266, 173.0]","[45.16468811035156, 185.06439208984375]"
67,"[96.00000762939453, 156.0]","[93.4488525390625, 160.9675750732422]"
68,"[83.0, 120.99999237060547]","[82.94097137451172, 125.67955780029297]"
69,"[115.0, 6.000000476837158]","[112.65364074707031, 7.426723480224609]"
70,"[107.0, 176.0]","[103.92210388183594, 181.56553649902344]"
71,"[110.0, 48.000003814697266]","[113.76731872558594, 52.32597732543945]"
72,"[6.000000476837158, 62.0]","[3.5334811210632324, 73.70065307617188]"
73,"[158.0, 86.0]","[155.7048797607422, 93.99551391601562]"
74,"[52.000003814697266, 268.0]","[48.43088912963867, 270.161376953125]"
75,"[16.0, 299.0]","[12.530759811401367, 306.2200927734375]"
76,"[115.0, 295.0]","[114.06319427490234, 302.3050537109375]"
77,"[140.0, 62.0]","[144.04989624023438, 66.35084533691406]"
78,"[29.0, 180.0]","[30.313993453979492, 184.44317626953125]"
79,"[41.0, 120.0]","[38.32696533203125, 125.91998291015625]"
80,"[101.0, 319.0]","[99.79637145996094, 325.8972473144531]"
81,"[12.000000953674316, 260.0]","[9.221726417541504, 270.3530578613281]"
82,"[118.0, 187.0]","[117.27025604248047, 194.7801513671875]"
83,"[158.0, 225.99998474121094]","[157.80654907226562, 226.93902587890625]"
84,"[59.0, 297.0]","[51.45756149291992, 305.5002746582031]"
85,"[148.0, 233.99998474121094]","[145.66546630859375, 237.455810546875]"
86,"[28.000001907348633, 22.0]","[30.729909896850586, 27.52851104736328]"
87,"[12.000000953674316, 122.0]","[7.874062538146973, 130.9649200439453]"
88,"[73.0, 350.0]","[73.28197479248047, 356.6973571777344]"
89,"[172.0, 354.0]","[178.80575561523438, 316.2039794921875]"
90,"[66.0, 94.0]","[67.14832305908203, 101.26809692382812]"
91,"[34.0, 36.0]","[34.31752395629883, 39.89942169189453]"
92,"[122.0, 38.0]","[122.99668884277344, 45.21372985839844]"
93,"[52.000003814697266, 134.0]","[52.32481384277344, 138.4835662841797]"
94,"[124.99999237060547, 176.0]","[122.82038879394531, 183.84567260742188]"
95,"[131.0, 222.0]","[128.9761199951172, 226.92822265625]"
96,"[177.0, 245.00001525878906]","[179.3787841796875, 238.22669982910156]"
97,"[77.0, 352.0]","[79.37931060791016, 361.0884094238281]"
98,"[82.0, 236.0]","[77.68486022949219, 244.96385192871094]"
99,"[96.00000762939453, 237.00001525878906]","[89.82355499267578, 245.69635009765625]"
